Main-Trace,Start Freq(Hz),Stop Freq(Hz),Center Freq(Hz),Span Freq(Hz)
Spectrogram,274999877000,274999977000,274999927000,100000,

Analysis Start Time(ms),Analysis Time Length(ms),Capture Time(ms),ATT(dB)
0,200000,200000,60

Ref Level(dBm),Pre-Amp
10.00, Off

RBW(Hz),Marker Result
3000,Peak(Accuracy)

Detection,Freq Trace Point,Time Trace Point
Positive,513,501

Storage Mode
Off

Wave Data Time Trace 0(dBm),Wave Data Time Trace 1(dBm),Wave Data Time Trace 2(dBm),Wave Data Time Trace 3(dBm),Wave Data Time Trace 4(dBm),Wave Data Time Trace 5(dBm),Wave Data Time Trace 6(dBm),Wave Data Time Trace 7(dBm),Wave Data Time Trace 8(dBm),Wave Data Time Trace 9(dBm),Wave Data Time Trace 10(dBm),Wave Data Time Trace 11(dBm),Wave Data Time Trace 12(dBm),Wave Data Time Trace 13(dBm),Wave Data Time Trace 14(dBm),Wave Data Time Trace 15(dBm),Wave Data Time Trace 16(dBm),Wave Data Time Trace 17(dBm),Wave Data Time Trace 18(dBm),Wave Data Time Trace 19(dBm),Wave Data Time Trace 20(dBm),Wave Data Time Trace 21(dBm),Wave Data Time Trace 22(dBm),Wave Data Time Trace 23(dBm),Wave Data Time Trace 24(dBm),Wave Data Time Trace 25(dBm),Wave Data Time Trace 26(dBm),Wave Data Time Trace 27(dBm),Wave Data Time Trace 28(dBm),Wave Data Time Trace 29(dBm),Wave Data Time Trace 30(dBm),Wave Data Time Trace 31(dBm),Wave Data Time Trace 32(dBm),Wave Data Time Trace 33(dBm),Wave Data Time Trace 34(dBm),Wave Data Time Trace 35(dBm),Wave Data Time Trace 36(dBm),Wave Data Time Trace 37(dBm),Wave Data Time Trace 38(dBm),Wave Data Time Trace 39(dBm),Wave Data Time Trace 40(dBm),Wave Data Time Trace 41(dBm),Wave Data Time Trace 42(dBm),Wave Data Time Trace 43(dBm),Wave Data Time Trace 44(dBm),Wave Data Time Trace 45(dBm),Wave Data Time Trace 46(dBm),Wave Data Time Trace 47(dBm),Wave Data Time Trace 48(dBm),Wave Data Time Trace 49(dBm),Wave Data Time Trace 50(dBm),Wave Data Time Trace 51(dBm),Wave Data Time Trace 52(dBm),Wave Data Time Trace 53(dBm),Wave Data Time Trace 54(dBm),Wave Data Time Trace 55(dBm),Wave Data Time Trace 56(dBm),Wave Data Time Trace 57(dBm),Wave Data Time Trace 58(dBm),Wave Data Time Trace 59(dBm),Wave Data Time Trace 60(dBm),Wave Data Time Trace 61(dBm),Wave Data Time Trace 62(dBm),Wave Data Time Trace 63(dBm),Wave Data Time Trace 64(dBm),Wave Data Time Trace 65(dBm),Wave Data Time Trace 66(dBm),Wave Data Time Trace 67(dBm),Wave Data Time Trace 68(dBm),Wave Data Time Trace 69(dBm),Wave Data Time Trace 70(dBm),Wave Data Time Trace 71(dBm),Wave Data Time Trace 72(dBm),Wave Data Time Trace 73(dBm),Wave Data Time Trace 74(dBm),Wave Data Time Trace 75(dBm),Wave Data Time Trace 76(dBm),Wave Data Time Trace 77(dBm),Wave Data Time Trace 78(dBm),Wave Data Time Trace 79(dBm),Wave Data Time Trace 80(dBm),Wave Data Time Trace 81(dBm),Wave Data Time Trace 82(dBm),Wave Data Time Trace 83(dBm),Wave Data Time Trace 84(dBm),Wave Data Time Trace 85(dBm),Wave Data Time Trace 86(dBm),Wave Data Time Trace 87(dBm),Wave Data Time Trace 88(dBm),Wave Data Time Trace 89(dBm),Wave Data Time Trace 90(dBm),Wave Data Time Trace 91(dBm),Wave Data Time Trace 92(dBm),Wave Data Time Trace 93(dBm),Wave Data Time Trace 94(dBm),Wave Data Time Trace 95(dBm),Wave Data Time Trace 96(dBm),Wave Data Time Trace 97(dBm),Wave Data Time Trace 98(dBm),Wave Data Time Trace 99(dBm),Wave Data Time Trace 100(dBm),Wave Data Time Trace 101(dBm),Wave Data Time Trace 102(dBm),Wave Data Time Trace 103(dBm),Wave Data Time Trace 104(dBm),Wave Data Time Trace 105(dBm),Wave Data Time Trace 106(dBm),Wave Data Time Trace 107(dBm),Wave Data Time Trace 108(dBm),Wave Data Time Trace 109(dBm),Wave Data Time Trace 110(dBm),Wave Data Time Trace 111(dBm),Wave Data Time Trace 112(dBm),Wave Data Time Trace 113(dBm),Wave Data Time Trace 114(dBm),Wave Data Time Trace 115(dBm),Wave Data Time Trace 116(dBm),Wave Data Time Trace 117(dBm),Wave Data Time Trace 118(dBm),Wave Data Time Trace 119(dBm),Wave Data Time Trace 120(dBm),Wave Data Time Trace 121(dBm),Wave Data Time Trace 122(dBm),Wave Data Time Trace 123(dBm),Wave Data Time Trace 124(dBm),Wave Data Time Trace 125(dBm),Wave Data Time Trace 126(dBm),Wave Data Time Trace 127(dBm),Wave Data Time Trace 128(dBm),Wave Data Time Trace 129(dBm),Wave Data Time Trace 130(dBm),Wave Data Time Trace 131(dBm),Wave Data Time Trace 132(dBm),Wave Data Time Trace 133(dBm),Wave Data Time Trace 134(dBm),Wave Data Time Trace 135(dBm),Wave Data Time Trace 136(dBm),Wave Data Time Trace 137(dBm),Wave Data Time Trace 138(dBm),Wave Data Time Trace 139(dBm),Wave Data Time Trace 140(dBm),Wave Data Time Trace 141(dBm),Wave Data Time Trace 142(dBm),Wave Data Time Trace 143(dBm),Wave Data Time Trace 144(dBm),Wave Data Time Trace 145(dBm),Wave Data Time Trace 146(dBm),Wave Data Time Trace 147(dBm),Wave Data Time Trace 148(dBm),Wave Data Time Trace 149(dBm),Wave Data Time Trace 150(dBm),Wave Data Time Trace 151(dBm),Wave Data Time Trace 152(dBm),Wave Data Time Trace 153(dBm),Wave Data Time Trace 154(dBm),Wave Data Time Trace 155(dBm),Wave Data Time Trace 156(dBm),Wave Data Time Trace 157(dBm),Wave Data Time Trace 158(dBm),Wave Data Time Trace 159(dBm),Wave Data Time Trace 160(dBm),Wave Data Time Trace 161(dBm),Wave Data Time Trace 162(dBm),Wave Data Time Trace 163(dBm),Wave Data Time Trace 164(dBm),Wave Data Time Trace 165(dBm),Wave Data Time Trace 166(dBm),Wave Data Time Trace 167(dBm),Wave Data Time Trace 168(dBm),Wave Data Time Trace 169(dBm),Wave Data Time Trace 170(dBm),Wave Data Time Trace 171(dBm),Wave Data Time Trace 172(dBm),Wave Data Time Trace 173(dBm),Wave Data Time Trace 174(dBm),Wave Data Time Trace 175(dBm),Wave Data Time Trace 176(dBm),Wave Data Time Trace 177(dBm),Wave Data Time Trace 178(dBm),Wave Data Time Trace 179(dBm),Wave Data Time Trace 180(dBm),Wave Data Time Trace 181(dBm),Wave Data Time Trace 182(dBm),Wave Data Time Trace 183(dBm),Wave Data Time Trace 184(dBm),Wave Data Time Trace 185(dBm),Wave Data Time Trace 186(dBm),Wave Data Time Trace 187(dBm),Wave Data Time Trace 188(dBm),Wave Data Time Trace 189(dBm),Wave Data Time Trace 190(dBm),Wave Data Time Trace 191(dBm),Wave Data Time Trace 192(dBm),Wave Data Time Trace 193(dBm),Wave Data Time Trace 194(dBm),Wave Data Time Trace 195(dBm),Wave Data Time Trace 196(dBm),Wave Data Time Trace 197(dBm),Wave Data Time Trace 198(dBm),Wave Data Time Trace 199(dBm),Wave Data Time Trace 200(dBm),Wave Data Time Trace 201(dBm),Wave Data Time Trace 202(dBm),Wave Data Time Trace 203(dBm),Wave Data Time Trace 204(dBm),Wave Data Time Trace 205(dBm),Wave Data Time Trace 206(dBm),Wave Data Time Trace 207(dBm),Wave Data Time Trace 208(dBm),Wave Data Time Trace 209(dBm),Wave Data Time Trace 210(dBm),Wave Data Time Trace 211(dBm),Wave Data Time Trace 212(dBm),Wave Data Time Trace 213(dBm),Wave Data Time Trace 214(dBm),Wave Data Time Trace 215(dBm),Wave Data Time Trace 216(dBm),Wave Data Time Trace 217(dBm),Wave Data Time Trace 218(dBm),Wave Data Time Trace 219(dBm),Wave Data Time Trace 220(dBm),Wave Data Time Trace 221(dBm),Wave Data Time Trace 222(dBm),Wave Data Time Trace 223(dBm),Wave Data Time Trace 224(dBm),Wave Data Time Trace 225(dBm),Wave Data Time Trace 226(dBm),Wave Data Time Trace 227(dBm),Wave Data Time Trace 228(dBm),Wave Data Time Trace 229(dBm),Wave Data Time Trace 230(dBm),Wave Data Time Trace 231(dBm),Wave Data Time Trace 232(dBm),Wave Data Time Trace 233(dBm),Wave Data Time Trace 234(dBm),Wave Data Time Trace 235(dBm),Wave Data Time Trace 236(dBm),Wave Data Time Trace 237(dBm),Wave Data Time Trace 238(dBm),Wave Data Time Trace 239(dBm),Wave Data Time Trace 240(dBm),Wave Data Time Trace 241(dBm),Wave Data Time Trace 242(dBm),Wave Data Time Trace 243(dBm),Wave Data Time Trace 244(dBm),Wave Data Time Trace 245(dBm),Wave Data Time Trace 246(dBm),Wave Data Time Trace 247(dBm),Wave Data Time Trace 248(dBm),Wave Data Time Trace 249(dBm),Wave Data Time Trace 250(dBm),Wave Data Time Trace 251(dBm),Wave Data Time Trace 252(dBm),Wave Data Time Trace 253(dBm),Wave Data Time Trace 254(dBm),Wave Data Time Trace 255(dBm),Wave Data Time Trace 256(dBm),Wave Data Time Trace 257(dBm),Wave Data Time Trace 258(dBm),Wave Data Time Trace 259(dBm),Wave Data Time Trace 260(dBm),Wave Data Time Trace 261(dBm),Wave Data Time Trace 262(dBm),Wave Data Time Trace 263(dBm),Wave Data Time Trace 264(dBm),Wave Data Time Trace 265(dBm),Wave Data Time Trace 266(dBm),Wave Data Time Trace 267(dBm),Wave Data Time Trace 268(dBm),Wave Data Time Trace 269(dBm),Wave Data Time Trace 270(dBm),Wave Data Time Trace 271(dBm),Wave Data Time Trace 272(dBm),Wave Data Time Trace 273(dBm),Wave Data Time Trace 274(dBm),Wave Data Time Trace 275(dBm),Wave Data Time Trace 276(dBm),Wave Data Time Trace 277(dBm),Wave Data Time Trace 278(dBm),Wave Data Time Trace 279(dBm),Wave Data Time Trace 280(dBm),Wave Data Time Trace 281(dBm),Wave Data Time Trace 282(dBm),Wave Data Time Trace 283(dBm),Wave Data Time Trace 284(dBm),Wave Data Time Trace 285(dBm),Wave Data Time Trace 286(dBm),Wave Data Time Trace 287(dBm),Wave Data Time Trace 288(dBm),Wave Data Time Trace 289(dBm),Wave Data Time Trace 290(dBm),Wave Data Time Trace 291(dBm),Wave Data Time Trace 292(dBm),Wave Data Time Trace 293(dBm),Wave Data Time Trace 294(dBm),Wave Data Time Trace 295(dBm),Wave Data Time Trace 296(dBm),Wave Data Time Trace 297(dBm),Wave Data Time Trace 298(dBm),Wave Data Time Trace 299(dBm),Wave Data Time Trace 300(dBm),Wave Data Time Trace 301(dBm),Wave Data Time Trace 302(dBm),Wave Data Time Trace 303(dBm),Wave Data Time Trace 304(dBm),Wave Data Time Trace 305(dBm),Wave Data Time Trace 306(dBm),Wave Data Time Trace 307(dBm),Wave Data Time Trace 308(dBm),Wave Data Time Trace 309(dBm),Wave Data Time Trace 310(dBm),Wave Data Time Trace 311(dBm),Wave Data Time Trace 312(dBm),Wave Data Time Trace 313(dBm),Wave Data Time Trace 314(dBm),Wave Data Time Trace 315(dBm),Wave Data Time Trace 316(dBm),Wave Data Time Trace 317(dBm),Wave Data Time Trace 318(dBm),Wave Data Time Trace 319(dBm),Wave Data Time Trace 320(dBm),Wave Data Time Trace 321(dBm),Wave Data Time Trace 322(dBm),Wave Data Time Trace 323(dBm),Wave Data Time Trace 324(dBm),Wave Data Time Trace 325(dBm),Wave Data Time Trace 326(dBm),Wave Data Time Trace 327(dBm),Wave Data Time Trace 328(dBm),Wave Data Time Trace 329(dBm),Wave Data Time Trace 330(dBm),Wave Data Time Trace 331(dBm),Wave Data Time Trace 332(dBm),Wave Data Time Trace 333(dBm),Wave Data Time Trace 334(dBm),Wave Data Time Trace 335(dBm),Wave Data Time Trace 336(dBm),Wave Data Time Trace 337(dBm),Wave Data Time Trace 338(dBm),Wave Data Time Trace 339(dBm),Wave Data Time Trace 340(dBm),Wave Data Time Trace 341(dBm),Wave Data Time Trace 342(dBm),Wave Data Time Trace 343(dBm),Wave Data Time Trace 344(dBm),Wave Data Time Trace 345(dBm),Wave Data Time Trace 346(dBm),Wave Data Time Trace 347(dBm),Wave Data Time Trace 348(dBm),Wave Data Time Trace 349(dBm),Wave Data Time Trace 350(dBm),Wave Data Time Trace 351(dBm),Wave Data Time Trace 352(dBm),Wave Data Time Trace 353(dBm),Wave Data Time Trace 354(dBm),Wave Data Time Trace 355(dBm),Wave Data Time Trace 356(dBm),Wave Data Time Trace 357(dBm),Wave Data Time Trace 358(dBm),Wave Data Time Trace 359(dBm),Wave Data Time Trace 360(dBm),Wave Data Time Trace 361(dBm),Wave Data Time Trace 362(dBm),Wave Data Time Trace 363(dBm),Wave Data Time Trace 364(dBm),Wave Data Time Trace 365(dBm),Wave Data Time Trace 366(dBm),Wave Data Time Trace 367(dBm),Wave Data Time Trace 368(dBm),Wave Data Time Trace 369(dBm),Wave Data Time Trace 370(dBm),Wave Data Time Trace 371(dBm),Wave Data Time Trace 372(dBm),Wave Data Time Trace 373(dBm),Wave Data Time Trace 374(dBm),Wave Data Time Trace 375(dBm),Wave Data Time Trace 376(dBm),Wave Data Time Trace 377(dBm),Wave Data Time Trace 378(dBm),Wave Data Time Trace 379(dBm),Wave Data Time Trace 380(dBm),Wave Data Time Trace 381(dBm),Wave Data Time Trace 382(dBm),Wave Data Time Trace 383(dBm),Wave Data Time Trace 384(dBm),Wave Data Time Trace 385(dBm),Wave Data Time Trace 386(dBm),Wave Data Time Trace 387(dBm),Wave Data Time Trace 388(dBm),Wave Data Time Trace 389(dBm),Wave Data Time Trace 390(dBm),Wave Data Time Trace 391(dBm),Wave Data Time Trace 392(dBm),Wave Data Time Trace 393(dBm),Wave Data Time Trace 394(dBm),Wave Data Time Trace 395(dBm),Wave Data Time Trace 396(dBm),Wave Data Time Trace 397(dBm),Wave Data Time Trace 398(dBm),Wave Data Time Trace 399(dBm),Wave Data Time Trace 400(dBm),Wave Data Time Trace 401(dBm),Wave Data Time Trace 402(dBm),Wave Data Time Trace 403(dBm),Wave Data Time Trace 404(dBm),Wave Data Time Trace 405(dBm),Wave Data Time Trace 406(dBm),Wave Data Time Trace 407(dBm),Wave Data Time Trace 408(dBm),Wave Data Time Trace 409(dBm),Wave Data Time Trace 410(dBm),Wave Data Time Trace 411(dBm),Wave Data Time Trace 412(dBm),Wave Data Time Trace 413(dBm),Wave Data Time Trace 414(dBm),Wave Data Time Trace 415(dBm),Wave Data Time Trace 416(dBm),Wave Data Time Trace 417(dBm),Wave Data Time Trace 418(dBm),Wave Data Time Trace 419(dBm),Wave Data Time Trace 420(dBm),Wave Data Time Trace 421(dBm),Wave Data Time Trace 422(dBm),Wave Data Time Trace 423(dBm),Wave Data Time Trace 424(dBm),Wave Data Time Trace 425(dBm),Wave Data Time Trace 426(dBm),Wave Data Time Trace 427(dBm),Wave Data Time Trace 428(dBm),Wave Data Time Trace 429(dBm),Wave Data Time Trace 430(dBm),Wave Data Time Trace 431(dBm),Wave Data Time Trace 432(dBm),Wave Data Time Trace 433(dBm),Wave Data Time Trace 434(dBm),Wave Data Time Trace 435(dBm),Wave Data Time Trace 436(dBm),Wave Data Time Trace 437(dBm),Wave Data Time Trace 438(dBm),Wave Data Time Trace 439(dBm),Wave Data Time Trace 440(dBm),Wave Data Time Trace 441(dBm),Wave Data Time Trace 442(dBm),Wave Data Time Trace 443(dBm),Wave Data Time Trace 444(dBm),Wave Data Time Trace 445(dBm),Wave Data Time Trace 446(dBm),Wave Data Time Trace 447(dBm),Wave Data Time Trace 448(dBm),Wave Data Time Trace 449(dBm),Wave Data Time Trace 450(dBm),Wave Data Time Trace 451(dBm),Wave Data Time Trace 452(dBm),Wave Data Time Trace 453(dBm),Wave Data Time Trace 454(dBm),Wave Data Time Trace 455(dBm),Wave Data Time Trace 456(dBm),Wave Data Time Trace 457(dBm),Wave Data Time Trace 458(dBm),Wave Data Time Trace 459(dBm),Wave Data Time Trace 460(dBm),Wave Data Time Trace 461(dBm),Wave Data Time Trace 462(dBm),Wave Data Time Trace 463(dBm),Wave Data Time Trace 464(dBm),Wave Data Time Trace 465(dBm),Wave Data Time Trace 466(dBm),Wave Data Time Trace 467(dBm),Wave Data Time Trace 468(dBm),Wave Data Time Trace 469(dBm),Wave Data Time Trace 470(dBm),Wave Data Time Trace 471(dBm),Wave Data Time Trace 472(dBm),Wave Data Time Trace 473(dBm),Wave Data Time Trace 474(dBm),Wave Data Time Trace 475(dBm),Wave Data Time Trace 476(dBm),Wave Data Time Trace 477(dBm),Wave Data Time Trace 478(dBm),Wave Data Time Trace 479(dBm),Wave Data Time Trace 480(dBm),Wave Data Time Trace 481(dBm),Wave Data Time Trace 482(dBm),Wave Data Time Trace 483(dBm),Wave Data Time Trace 484(dBm),Wave Data Time Trace 485(dBm),Wave Data Time Trace 486(dBm),Wave Data Time Trace 487(dBm),Wave Data Time Trace 488(dBm),Wave Data Time Trace 489(dBm),Wave Data Time Trace 490(dBm),Wave Data Time Trace 491(dBm),Wave Data Time Trace 492(dBm),Wave Data Time Trace 493(dBm),Wave Data Time Trace 494(dBm),Wave Data Time Trace 495(dBm),Wave Data Time Trace 496(dBm),Wave Data Time Trace 497(dBm),Wave Data Time Trace 498(dBm),Wave Data Time Trace 499(dBm),Wave Data Time Trace 500(dBm)
-39.552,-38.745,-38.855,-39.278,-39.858,-39.792,-40.021,-40.506,-40.566,-38.965,-39.992,-40.522,-40.765,-40.122,-40.485,-40.762,-40.352,-40.058,-39.488,-39.794,-40.108,-40.170,-39.035,-39.984,-40.193,-39.328,-39.976,-40.299,-39.843,-40.214,-39.445,-39.584,-40.773,-40.692,-40.261,-41.263,-40.284,-40.133,-39.496,-39.635,-40.226,-40.316,-39.980,-39.791,-39.172,-39.582,-40.503,-38.934,-40.403,-39.361,-40.133,-39.742,-40.435,-38.966,-39.419,-40.211,-39.080,-40.692,-39.564,-39.963,-40.128,-40.792,-40.180,-39.563,-38.282,-40.312,-40.245,-39.347,-39.970,-39.510,-40.720,-40.296,-38.849,-39.812,-39.917,-39.511,-39.966,-40.122,-40.153,-39.172,-40.211,-39.450,-40.229,-39.977,-39.872,-40.252,-40.902,-40.703,-38.832,-40.545,-38.112,-40.195,-40.251,-39.046,-39.804,-39.249,-39.953,-40.399,-39.672,-41.157,-39.889,-40.110,-39.785,-39.578,-40.941,-39.407,-39.429,-39.673,-40.692,-39.935,-39.913,-39.194,-40.610,-40.152,-38.852,-39.145,-40.148,-40.449,-39.675,-39.540,-40.811,-39.389,-39.627,-40.424,-40.347,-40.376,-40.035,-40.236,-40.325,-38.669,-39.754,-40.434,-38.818,-40.099,-39.714,-40.123,-40.674,-38.769,-40.743,-39.848,-40.446,-40.540,-39.960,-40.716,-38.543,-39.459,-40.256,-40.198,-40.428,-39.981,-39.892,-40.653,-39.438,-40.610,-39.977,-40.082,-39.496,-39.689,-39.844,-40.201,-40.533,-39.089,-39.526,-40.001,-39.364,-39.641,-39.786,-40.398,-40.391,-39.326,-39.838,-39.893,-39.856,-40.767,-38.889,-39.657,-40.384,-40.205,-38.466,-39.596,-40.300,-40.883,-39.436,-39.960,-40.435,-39.488,-40.019,-40.474,-40.667,-40.761,-40.159,-38.817,-40.619,-38.350,-40.560,-40.316,-39.635,-40.115,-39.438,-40.268,-39.627,-40.691,-39.734,-40.603,-40.103,-39.437,-39.567,-39.656,-38.699,-40.227,-39.232,-40.493,-39.849,-38.742,-40.204,-41.024,-38.354,-38.931,-38.880,-38.671,-40.004,-39.778,-40.524,-40.477,-39.497,-40.084,-40.485,-38.543,-40.028,-40.153,-40.434,-39.603,-40.026,-39.924,-39.645,-40.264,-40.913,-38.836,-39.198,-40.422,-39.687,-40.115,-40.119,-40.062,-40.710,-39.689,-40.523,-39.647,-40.108,-39.300,-39.642,-38.955,-41.184,-40.054,-39.770,-39.869,-40.100,-37.713,-40.362,-38.992,-40.269,-40.557,-40.114,-40.147,-39.087,-39.434,-40.508,-40.531,-40.161,-40.630,-39.024,-38.922,-38.940,-40.104,-40.220,-39.622,-39.788,-40.413,-40.460,-40.028,-39.703,-40.169,-40.214,-39.922,-40.557,-39.195,-38.952,-39.560,-39.722,-40.261,-39.025,-38.574,-40.358,-40.248,-39.391,-40.200,-40.110,-41.225,-39.626,-39.790,-39.542,-40.759,-40.281,-39.789,-39.515,-39.384,-40.798,-37.515,-39.072,-38.935,-40.418,-40.215,-40.061,-40.758,-40.770,-39.944,-39.695,-40.830,-40.208,-39.130,-40.359,-39.571,-40.228,-40.480,-40.156,-39.529,-40.026,-39.255,-39.495,-39.419,-40.586,-40.527,-40.086,-40.490,-39.795,-39.754,-39.270,-39.096,-40.278,-39.277,-39.083,-39.971,-39.242,-40.372,-40.631,-39.666,-39.204,-39.586,-39.879,-39.666,-39.931,-39.712,-39.715,-38.195,-40.245,-40.183,-39.554,-39.891,-39.762,-39.801,-40.695,-39.542,-40.679,-40.493,-40.030,-39.385,-39.731,-40.285,-40.119,-40.183,-39.582,-40.757,-40.366,-40.513,-39.858,-39.250,-40.348,-40.339,-40.545,-39.415,-39.832,-39.700,-40.410,-40.329,-39.708,-40.818,-39.880,-38.909,-39.428,-40.027,-39.717,-39.993,-39.506,-40.347,-40.196,-39.513,-39.889,-40.130,-39.985,-40.542,-40.381,-39.985,-41.195,-39.197,-40.784,-39.927,-40.027,-40.371,-39.627,-39.163,-40.439,-38.736,-40.520,-39.961,-40.323,-40.046,-40.751,-40.184,-39.949,-40.356,-40.097,-41.129,-39.974,-39.405,-40.377,-40.221,-40.382,-38.979,-38.666,-40.382,-39.443,-39.946,-39.852,-40.701,-39.768,-39.485,-39.672,-39.883,-40.288,-39.242,-40.141,-37.999,-39.731,-40.192,-40.466,-40.482,-40.549,-40.295,-39.337,-40.406,-39.691,-40.418,-39.471,-39.063,-38.113,-38.773,-39.197,-40.620,-39.256,-39.962,-39.625,-39.751,-39.865,-39.381,-39.981,-39.185,-40.582,-39.276,-40.004,-40.334,-40.135,-40.363,-39.927,-40.191,-40.176,-39.295,-39.636,-40.886,-38.472,-38.311,-40.518,-39.878,-39.187,-40.102,-39.401,-40.027,-39.846,-39.441,-40.340,-40.432,-39.807,-40.380,-40.452,-39.628,-39.999,-40.871,-39.318,-38.999,-39.770,-39.734,-40.375
-39.874,-38.904,-38.831,-39.184,-39.955,-39.945,-40.248,-40.703,-40.501,-39.177,-39.990,-40.619,-40.604,-40.099,-40.371,-40.754,-40.130,-40.150,-39.542,-39.886,-40.295,-40.206,-39.042,-40.190,-40.076,-39.289,-39.912,-40.292,-40.155,-40.126,-39.480,-39.676,-40.904,-40.612,-40.346,-41.168,-40.341,-40.313,-39.372,-39.514,-40.256,-40.231,-39.880,-39.921,-39.119,-39.549,-40.287,-38.974,-40.435,-39.637,-40.243,-39.707,-40.468,-38.975,-39.510,-40.129,-39.055,-40.542,-39.513,-39.979,-40.230,-40.523,-40.471,-39.642,-38.283,-40.367,-40.281,-39.459,-40.091,-39.421,-40.961,-40.222,-38.916,-39.829,-40.324,-39.546,-39.893,-39.873,-40.235,-39.147,-39.947,-39.435,-40.174,-39.788,-39.783,-40.228,-41.064,-40.740,-38.816,-40.506,-37.894,-40.148,-40.582,-39.214,-39.938,-39.335,-40.154,-40.605,-39.587,-41.060,-39.927,-40.168,-39.903,-39.666,-40.982,-39.560,-39.370,-39.626,-40.779,-39.782,-40.007,-39.319,-40.865,-40.157,-38.954,-39.132,-40.404,-40.493,-39.663,-39.290,-40.863,-39.428,-39.688,-40.568,-40.201,-40.493,-40.050,-40.295,-40.446,-38.629,-39.819,-40.668,-38.908,-40.113,-39.592,-40.004,-40.710,-38.848,-40.789,-39.787,-40.466,-40.543,-40.277,-40.536,-38.585,-39.532,-40.490,-40.298,-40.525,-39.939,-40.023,-40.720,-39.574,-40.689,-40.231,-40.091,-39.666,-39.732,-39.853,-40.130,-40.424,-39.052,-39.738,-39.846,-39.453,-39.806,-39.818,-40.490,-40.420,-39.293,-40.059,-39.898,-39.614,-40.604,-38.922,-39.686,-40.193,-40.391,-38.428,-39.733,-40.250,-40.753,-39.591,-40.088,-40.278,-39.633,-40.100,-40.591,-40.909,-40.756,-40.339,-38.728,-40.498,-38.484,-40.726,-40.237,-39.675,-39.992,-39.407,-40.152,-39.485,-40.732,-39.858,-40.694,-40.196,-39.412,-39.450,-39.890,-38.745,-40.328,-39.116,-40.474,-39.817,-38.637,-40.095,-40.987,-38.635,-39.072,-39.017,-38.760,-40.265,-39.962,-40.547,-40.683,-39.461,-40.120,-40.465,-38.590,-40.189,-40.199,-40.466,-39.644,-39.796,-39.607,-39.848,-40.413,-41.026,-38.824,-39.109,-40.528,-39.812,-40.232,-39.890,-40.129,-41.005,-39.867,-40.430,-39.891,-40.106,-39.569,-39.870,-39.010,-41.260,-40.182,-39.809,-39.920,-40.062,-37.744,-40.387,-39.293,-40.314,-40.589,-40.270,-40.317,-39.082,-39.420,-40.526,-40.508,-40.011,-40.627,-39.175,-38.822,-39.027,-40.098,-40.327,-39.497,-40.067,-40.316,-40.320,-40.108,-39.836,-40.377,-40.148,-39.758,-40.680,-39.234,-38.859,-39.422,-39.648,-40.177,-38.964,-38.375,-40.454,-40.354,-39.004,-40.083,-40.183,-40.939,-39.527,-39.588,-39.631,-40.482,-40.271,-39.671,-39.514,-39.353,-40.586,-37.620,-39.007,-38.951,-40.335,-40.359,-40.371,-40.770,-41.039,-40.023,-39.893,-40.741,-40.163,-39.258,-40.624,-39.387,-40.286,-40.483,-40.148,-39.602,-40.091,-39.327,-39.410,-39.503,-40.489,-40.613,-39.990,-40.564,-39.806,-39.656,-39.420,-39.149,-40.459,-39.252,-39.065,-40.047,-39.106,-40.478,-40.493,-39.763,-39.293,-39.583,-40.097,-39.544,-39.879,-39.736,-39.800,-38.286,-40.362,-40.270,-39.392,-39.888,-39.873,-39.777,-40.685,-39.670,-40.841,-40.346,-40.062,-39.349,-39.661,-40.358,-39.820,-40.313,-39.651,-40.765,-40.469,-40.615,-39.910,-39.256,-40.418,-40.413,-40.608,-39.483,-39.790,-39.848,-40.369,-40.245,-39.645,-41.068,-39.606,-39.124,-39.364,-40.126,-39.749,-40.006,-39.334,-40.204,-40.267,-39.667,-39.913,-40.077,-39.979,-40.503,-40.109,-39.916,-41.081,-39.347,-40.616,-39.949,-39.882,-40.208,-39.818,-39.029,-40.283,-38.823,-40.346,-39.896,-40.305,-40.002,-40.692,-40.058,-40.070,-40.360,-39.949,-41.094,-40.225,-39.383,-40.390,-40.187,-40.348,-38.750,-38.761,-40.340,-39.544,-40.229,-39.800,-40.735,-39.948,-39.555,-39.427,-39.798,-40.201,-39.523,-40.136,-38.214,-39.752,-40.278,-40.383,-40.355,-40.492,-40.250,-39.596,-40.550,-39.816,-40.471,-39.585,-38.795,-38.161,-38.918,-39.418,-40.720,-39.076,-40.096,-39.681,-39.638,-39.691,-39.439,-39.944,-39.441,-40.455,-39.221,-39.901,-40.382,-40.088,-40.526,-40.271,-40.160,-40.177,-39.430,-39.651,-40.668,-38.477,-38.594,-40.716,-39.959,-39.174,-40.278,-39.301,-40.160,-39.719,-39.415,-40.526,-40.630,-39.799,-40.570,-40.279,-39.796,-39.958,-40.964,-39.285,-39.122,-39.748,-39.975,-40.530
